カタカナ語,日本語
バジェット,予算//予算案
バズマーケティング,口コミ市場戦略
バックアップ,支援//控え
バックオフィス,事務管理部門
バッテリーストレージ,蓄電池//蓄電池を使って電気をためて、必要なときに使う仕組み
バッファ,緩衝
パブリックインボルブメント,住民参画
パブリックコメント,意見公募
バリアフリー,障壁なし
パラ,並列//同時進行
パラレル,並列//同時進行
ハレーション,影響
パワーエレクトロニクス,半導体における省エネ//半導体技術で電力を効率的に制御する技術
ヒートアイランド,都市高温化
ピークシフト,電力使用の分散//電力需要が集中する時間帯を避けて、使用時間をずらすこと
ビオトープ,生物生息空間
ビジネスモデル,二者関係
ビジョン,展望
ピボット,少し変更
ファクトベース,事実に基づいている
フィルタリング,選別
フィードインタリフ,再生可能エネルギーを電力会社が買い取る制度
フィードバック,意見
フィジビリ,前もって行われる調査・研究
フィジビリティスタディ,前もって行われる調査・研究
フィックス,最終決定
フェーズ,段階//局面
フェローシップ,研究奨学金
フォローアップ,追跡調査
プッシュ,後押し・推薦
プライオリティー,優先順位
ブラッシュアップ,見直し//質を高める//完成度を上げる
プランディング,計画し、認識されるようにすること
フラット,公平な//偏りのない
フリークーリングシステム,外気や冷水を直接利用して冷却する仕組み
フリーランス,自由契約
フルコミット,かかわりを請け負う//全力で頑張る
ブレークスルー,突破
フレームワーク,枠組み
プレスト,小グループでアイディアを出し合うアイディア発想法
プレゼンス,存在感
プレゼン,発表
プレゼンテーション,発表
フレックスタイム,自由勤務時間制
プロダクト,製品
プロトタイプ,原型
フロンティア,新分野
ペイ,割に合う//資金回収
ベストプラクティス,過去最高の事例//最も効果的効率的な実践方法
ヘッジ,回避
ベネフィット,利益//恩恵
ペルソナ,典型的なユーザー像
ベンチャー,新興企業
ペンディング,保留
ボーダーレス,無境界//脱境界
ポートフォリオ,資産構成//作品集
ポジショニング,自社製品の立ち位置
ポジティブ,積極的
ポテンシャル,潜在能力
ボトルネック,支障
マイノリティ,少数派
マジョリティ,多数派
マイルストーン,進捗管理のための節目
マージン,粗利益
マーケティング,市場戦略
マーチャント,通販サイト//サービス提供サイト
マクロ,巨視的
マスタープラン,基本計画
マスト,絶対外せないもの
マター,担当
マネジメント,経営管理
マネタイズ,収益化
マルチメディア,複合媒体
マンパワー,人的資源
ミーティング,会議
ミスマッチ,不釣り合い
ミッション,使節団//使命
メイクセンス,理解
メソッド,方法//方式
メディカルチェック,医学的検査
メンタルヘルス,心の健康
モアベター,より良いこと
モータリゼーション,車社会化
モチベーション,動機付け
モニタリング,継続監視
モビリティー,移動性
モラトリアム,猶予
モラルハザード,倫理崩壊
ユーザー,利用者//消費者
ユーザビリティ,ユーザーの使いやすさ
ユニバーサルサービス,全国一律サービス
ユニバーサルデザイン,万人向け設計
ライフサイクル,生涯過程
ライフライン,生活線
ライブラリー,図書館
リアルタイム,即時
リサイクル,再資源化//再利用
リードタイム,事前所要時間
リーフレット,ちらし
リスク,危険度
リスクヘッジ,対策
リスケ,日程変更//納期の延長//予定の変更
リスケジュール,納期の延長//予定の変更
リスペクト,尊敬
リソース,経営資源
リターナブル,回収再使用
リデュース,ごみ発生抑制
リテラシー,能力
リニューアル,刷新
リバイズ,改訂//修正
リバウンド,揺り戻し
リフレクト,反映
リフレクション,反映
リマインド,思い出すの
リユース,再使用
リリース,発表
レシピエント,移植患者
レスポンス,返答
レベルアップ,向上
ロードプライシング,道路課金
ロードマップ,進め方
ローンチ,少ししかないものの、種類が豊富なもの
ログイン,接続開始
ワーキンググループ,作業部会
ワークシェアリング,仕事の分かち合い
ワークショップ,研究集会
ワークライフバランス,仕事と生活の調和
ワンストップ,一箇所
ASAP,なるべく早く
B to B,企業向けビジネス
B to C,消費者向けビジネス
FIT,再生可能エネルギーを電力会社が買い取る制度
Feed-in Tariff,再生可能エネルギーを電力会社が買い取る制度
KPI,目標達成度
ZEH,年間で消費する電力を実質ゼロにする住宅//ゼロエネルギーハウス//断熱や省エネ設備、太陽光発電によってそれを可能にしている
